Quality Assessment Rubric for Included Studies;;;
Used to assess methodological quality in the systematic literature review on AI-based code assessment in programming education.;;;
;;;
Criterion ID;Criterion;Guiding question;Assessment guidance
QC1;Clarity and Relevance of Objectives and Research Questions;Does the study clearly define its objectives and research questions?;This criterion checks whether the study presents clear objectives and well-defined research questions, which are essential to ensure that the purpose of the study is transparent and specific.
QC2;Methodological Adequacy and Description;Is the study methodology appropriate to answer the research questions? Does it describe the methods and techniques used, such as algorithms or tools?;This criterion evaluates whether the selected methods and techniques are appropriate to answer the research questions and whether they are described clearly enough to understand the procedure and the alignment between methods and objectives.
QC3;Complete Description of the Study Context;Is the context in which the study was conducted clearly described? This includes information about the environment, data, and conditions under which the study was carried out.;This criterion examines whether the study adequately details the context and conditions in which it was conducted, including information about participants, environment, data, and parameters, supporting interpretation and applicability of the results.
QC4;Internal Validity and Control of Threats;Does the study consider threats to internal validity, such as bias and measurement errors, and describe how these threats were mitigated?;This criterion evaluates whether the study identifies and minimizes threats to internal validity, addressing bias, possible measurement errors, and other limitations that could affect the results.
QC5;Applicability and Generalizability of Results;Are the study results generalizable to other contexts or domains? Does the study consider the applicability of the results in other scenarios?;This criterion considers the generalization of results to other contexts, domains, or populations, checking whether the study discusses the applicability of the findings beyond the original research setting.
QC6;Transparency and Clarity in the Presentation of Results;Are the study results presented clearly and transparently, with adequate support for the conclusions?;This criterion evaluates whether the results are clearly presented and documented, with sufficient descriptions and data to support the conclusions and enable transparent analysis.
QC7;Grounding of Conclusions in the Results;Are the study conclusions well supported by the reported results, without undue extrapolations?;This criterion checks whether the conclusions are supported by the results without unjustified extrapolations, ensuring that interpretations are realistic and based on the data.
QC8;Reproducibility and Documentation of the Study;Does the study provide enough information for other researchers to reproduce the experiment or simulation? This includes details about the data, tools, and procedures used.;This criterion evaluates whether the study is reproducible by providing sufficient details about the method, data, and tools, facilitating replication by other researchers.
QC9;Originality and Contribution to the Field;Does the study present an original contribution to the field? Are the relevance and novelty of the study clearly discussed and justified?;This criterion examines whether the study represents an original contribution, highlighting its importance and justifying its value to the research area through new methods, findings, or insights.
QC10;Ethical Issues and Research Responsibility;Does the study address relevant ethical issues, such as informed consent, data privacy, and transparency in the results?;This criterion checks whether the study considers and complies with relevant ethical aspects, such as data protection, privacy, and consent, which are fundamental to scientific integrity.
